"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000038141.12",614.655674917488,6.231587601985,0.282217066002938,22.0808319292786,4.83112250285939e-108,1.71094203438765e-103
"ENSMUSG00000075184.4",724.215895337628,-5.60813141317702,0.272779909914163,-20.55918053108,6.36997616451811e-94,1.12796352933204e-89
"ENSMUSG00000056770.16",5285.38939394706,7.28434162707989,0.358775408869977,20.3033470159595,1.20118073511717e-91,1.41799385780581e-87
"ENSMUSG00000004665.11",134.469437697022,-4.96569726423772,0.247732202788905,-20.0446175682256,2.24903434714973e-89,1.99123878510769e-85
"ENSMUSG00000116336.3",566.649644089739,-7.04283878186959,0.366392432290038,-19.222118584301,2.41697038914905e-82,1.71194012663427e-78
"ENSMUSG00000043311.8",110.491141328065,-6.85014390810859,0.368525682516343,-18.587968852903,4.02119705125768e-77,2.37351155950485e-73
"ENSMUSG00000048764.17",131.72591712071,-5.6072507010304,0.305085177852818,-18.3792957117553,1.92451049087839e-75,9.36208236766519e-72
"ENSMUSG00000022324.16",174.535067135474,-4.60172066911396,0.250444965568361,-18.374179168149,2.11482871498861e-75,9.36208236766519e-72
"ENSMUSG00000032532.8",220.571486410047,-7.10555273256449,0.388944901907537,-18.2687899949738,1.46666820671716e-74,5.77133939343203e-71
"ENSMUSG00000037649.11",406.721546621467,-6.18993600041624,0.34846044352334,-17.7636690633485,1.35106907517089e-70,4.78481112971772e-67
"ENSMUSG00000026721.17",305.672219747971,-3.28047537853747,0.187651453358209,-17.4817477820188,1.97356011704985e-68,6.35396650412002e-65
"ENSMUSG00000059714.14",365.936542704122,-5.91214369088103,0.341359952690555,-17.3193827930965,3.35941555259571e-67,9.9144751495981e-64
"ENSMUSG00000038195.7",201.668838474021,4.11827753941343,0.242570667758212,16.977640278908,1.20223573814127e-64,3.2751675897133e-61
"ENSMUSG00000039470.16",245.124434182282,-5.40239522427485,0.321551041044445,-16.8010503300722,2.39760471847955e-63,6.0650836503538e-60
"ENSMUSG00000015222.19",83.6078350251218,-4.32956315719709,0.258321713854163,-16.7603531758904,4.75789489329667e-63,1.12333898430734e-59
"ENSMUSG00000097323.3",122.807437205943,6.06664517802651,0.367586350805724,16.5040001205944,3.43373412064756e-61,7.60035586767084e-58
"ENSMUSG00000105671.2",98.7615207303929,-6.74267619175782,0.408940578937914,-16.4881563215606,4.46363031957875e-61,9.29879222164009e-58
"ENSMUSG00000009216.8",61.4007629675239,-4.35153126221623,0.264030042471609,-16.4811974481432,5.00829870909785e-61,9.85382771015003e-58
"ENSMUSG00000024225.6",54.3484090733211,-5.15107624846125,0.31261530418762,-16.4773642859461,5.3360995111494e-61,9.94620864143979e-58
"ENSMUSG00000050730.18",266.452057445255,-4.36735579856216,0.265317888626428,-16.4608418270336,7.01184604563062e-61,1.24162263853004e-57
"ENSMUSG00000100151.2",194.690780180366,-3.25488597173253,0.201624175277817,-16.1433318561509,1.26523034255673e-58,2.13372059912603e-55
"ENSMUSG00000097352.8",90.8628764715192,4.55769735415419,0.283022359682952,16.1036653049597,2.40430138048376e-58,3.87037879044693e-55
"ENSMUSG00000106975.2",124.660255984867,-3.38492483738387,0.210765246865928,-16.060165932086,4.85251418611514e-58,7.47181695222902e-55
"ENSMUSG00000104031.2",601.210962332463,-5.99027787054619,0.374997929264406,-15.9741625301683,1.93434908244885e-57,2.85437386478859e-54
"ENSMUSG00000101451.2",52.498465849365,-5.23233892040361,0.32781489276931,-15.9612605644665,2.37877947690517e-57,3.36977900698387e-54
