query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
query_1,TRUE,8.808310206269884e-4,17,103,4,0.038834951456310676,0.23529411764705882,GO:0001878,GO:BP,response to yeast,27543,621,
query_1,TRUE,0.004956666314115906,57,103,5,0.04854368932038835,0.08771929824561403,GO:0050832,GO:BP,defense response to fungus,27543,15354,
query_1,TRUE,0.013786542398079773,70,103,5,0.04854368932038835,0.07142857142857142,GO:0009620,GO:BP,response to fungus,27543,3990,
query_1,TRUE,0.016345042128812746,34,103,4,0.038834951456310676,0.11764705882352941,GO:0051873,GO:BP,killing by host of symbiont cells,27543,16148,
query_1,TRUE,0.029996745580653537,82,103,5,0.04854368932038835,0.06097560975609756,GO:0019731,GO:BP,antibacterial humoral response,27543,6939,
query_1,TRUE,1.5922822108650463e-4,1974,107,24,0.22429906542056074,0.0121580547112462,GO:0005615,GO:CC,extracellular space,27317,277,
query_1,TRUE,0.0033236552901430836,447,107,10,0.09345794392523364,0.02237136465324385,GO:0030141,GO:CC,secretory granule,27317,1079,
query_1,TRUE,0.005369975183722058,2757,107,26,0.24299065420560748,0.009430540442509974,GO:0005576,GO:CC,extracellular region,27317,240,
query_1,TRUE,0.016934999537606174,656,107,11,0.102803738317757,0.01676829268292683,GO:0099503,GO:CC,secretory vesicle,27317,3776,
query_1,TRUE,0.023569331686809476,135,21,6,0.2857142857142857,0.044444444444444446,HP:0031983,HP,Abnormal pulmonary thoracic imaging finding,4671,12040,
query_1,TRUE,0.02169833860966075,185,29,5,0.1724137931034483,0.02702702702702703,KEGG:04613,KEGG,Neutrophil extracellular trap formation,8583,306,
query_1,TRUE,0.027898069409740444,108,29,4,0.13793103448275862,0.037037037037037035,KEGG:04974,KEGG,Protein digestion and absorption,8583,387,
query_1,TRUE,0.0027805276403664943,38,33,4,0.12121212121212122,0.10526315789473684,REAC:R-MMU-1592389,REAC,Activation of Matrix Metalloproteinases,8710,56,
query_1,TRUE,0.03539519544214924,72,33,4,0.12121212121212122,0.05555555555555555,REAC:R-MMU-6803157,REAC,Antimicrobial peptides,8710,114,
